id,name,code,parent_id/id,cpms,yqyt,pmjl,gllb
medical_device_category_01,有源手术器械,01,udi_data.medical_device_category_all,,,,
medical_device_category_02,无源手术器械,02,udi_data.medical_device_category_all,,,,
medical_device_category_03,神经和心血管手术器械,03,udi_data.medical_device_category_all,,,,
medical_device_category_04,骨科手术器械,04,udi_data.medical_device_category_all,,,,
medical_device_category_05,放射治疗器械,05,udi_data.medical_device_category_all,,,,
medical_device_category_06,医用成像器械,06,udi_data.medical_device_category_all,,,,
medical_device_category_07,医用诊察和监护器械,07,udi_data.medical_device_category_all,,,,
medical_device_category_08,呼吸、麻醉和急救器械,08,udi_data.medical_device_category_all,,,,
medical_device_category_09,物理治疗器械,09,udi_data.medical_device_category_all,,,,
medical_device_category_10,输血、透析和体外循环器械,10,udi_data.medical_device_category_all,,,,
medical_device_category_11,医疗器械消毒灭菌器械,11,udi_data.medical_device_category_all,,,,
medical_device_category_12,有源植入器械,12,udi_data.medical_device_category_all,,,,
medical_device_category_13,无源植入器械,13,udi_data.medical_device_category_all,,,,
medical_device_category_14,注输、护理和防护器械,14,udi_data.medical_device_category_all,,,,
medical_device_category_15,患者承载器械,15,udi_data.medical_device_category_all,,,,
medical_device_category_16,眼科器械,16,udi_data.medical_device_category_all,,,,
medical_device_category_17,口腔科器械,17,udi_data.medical_device_category_all,,,,
medical_device_category_18,妇产科、辅助生殖和避孕器械,18,udi_data.medical_device_category_all,,,,
medical_device_category_19,医用康复器械,19,udi_data.medical_device_category_all,,,,
medical_device_category_20,中医器械,20,udi_data.medical_device_category_all,,,,
medical_device_category_21,医用软件,21,udi_data.medical_device_category_all,,,,
medical_device_category_22,临床检验器械,22,udi_data.medical_device_category_all,,,,
medical_device_category_01-01,超声手术设备及附件,01-01,__import__.medical_device_category_01,,,,
medical_device_category_01-02,激光手术设备及附件,01-02,__import__.medical_device_category_01,,,,
medical_device_category_01-03,高频/射频手术设备及附件,01-03,__import__.medical_device_category_01,,,,
medical_device_category_01-04,微波手术设备,01-04,__import__.medical_device_category_01,,,,
medical_device_category_01-05,冷冻手术设备及附件,01-05,__import__.medical_device_category_01,,,,
medical_device_category_01-06,冲击波手术设备,01-06,__import__.medical_device_category_01,,,,
medical_device_category_01-07,手术导航、控制系统,01-07,__import__.medical_device_category_01,,,,
medical_device_category_01-08,手术照明设备,01-08,__import__.medical_device_category_01,,,,
medical_device_category_01-09,内窥镜手术用有源设备,01-09,__import__.medical_device_category_01,,,,
medical_device_category_01-10,其他手术设备,01-10,__import__.medical_device_category_01,,,,
medical_device_category_02-01,手术器械-刀,02-01,__import__.medical_device_category_02,,,,
medical_device_category_02-02,手术器械-凿,02-02,__import__.medical_device_category_02,,,,
medical_device_category_02-03,手术器械-剪,02-03,__import__.medical_device_category_02,,,,
medical_device_category_02-04,手术器械-钳,02-04,__import__.medical_device_category_02,,,,
medical_device_category_02-05,手术器械-镊,02-05,__import__.medical_device_category_02,,,,
medical_device_category_02-06,手术器械-夹,02-06,__import__.medical_device_category_02,,,,
medical_device_category_02-07,手术器械-针,02-07,__import__.medical_device_category_02,,,,
medical_device_category_02-08,手术器械-钩,02-08,__import__.medical_device_category_02,,,,
medical_device_category_02-09,手术器械-刮匙,02-09,__import__.medical_device_category_02,,,,
medical_device_category_02-10,手术器械-剥离器,02-10,__import__.medical_device_category_02,,,,
medical_device_category_02-11,手术器械-牵开器,02-11,__import__.medical_device_category_02,,,,
medical_device_category_02-12,手术器械-穿刺导引器,02-12,__import__.medical_device_category_02,,,,
medical_device_category_02-13,手术器械-吻（缝）合器械及材料,02-13,__import__.medical_device_category_02,,,,
medical_device_category_02-14,手术器械-冲吸器,02-14,__import__.medical_device_category_02,,,,
medical_device_category_02-15,手术器械-其他器械,02-15,__import__.medical_device_category_02,,,,
medical_device_category_03-01,神经和心血管手术器械-刀,03-01,__import__.medical_device_category_03,,,,
medical_device_category_03-02,神经和心血管手术器械-剪,03-02,__import__.medical_device_category_03,,,,
medical_device_category_03-03,神经和心血管手术器械-钳,03-03,__import__.medical_device_category_03,,,,
medical_device_category_03-04,神经和心血管手术器械-镊,03-04,__import__.medical_device_category_03,,,,
medical_device_category_03-05,神经和心血管手术器械-夹,03-05,__import__.medical_device_category_03,,,,
medical_device_category_03-06,神经和心血管手术器械-针,03-06,__import__.medical_device_category_03,,,,
medical_device_category_03-07,神经和心血管手术器械-钩,03-07,__import__.medical_device_category_03,,,,
medical_device_category_03-08,神经和心血管手术器械-刮匙,03-08,__import__.medical_device_category_03,,,,
medical_device_category_03-09,神经和心血管手术器械-剥离器,03-09,__import__.medical_device_category_03,,,,
medical_device_category_03-10,神经和心血管手术器械-牵开器,03-10,__import__.medical_device_category_03,,,,
medical_device_category_03-11,神经和心血管手术器械-穿刺导引器,03-11,__import__.medical_device_category_03,,,,
medical_device_category_03-12,神经和心血管手术器械-冲吸器,03-12,__import__.medical_device_category_03,,,,
medical_device_category_03-13,神经和心血管手术器械-心血管介入器械,03-13,__import__.medical_device_category_03,,,,
medical_device_category_03-14,神经和心血管手术器械-其他器械,03-14,__import__.medical_device_category_03,,,,
medical_device_category_04-01,骨科用刀,04-01,__import__.medical_device_category_04,,,,
medical_device_category_04-02,骨科用剪,04-02,__import__.medical_device_category_04,,,,
medical_device_category_04-03,骨科用钳,04-03,__import__.medical_device_category_04,,,,
medical_device_category_04-04,骨科用钩,04-04,__import__.medical_device_category_04,,,,
medical_device_category_04-05,骨科用针,04-05,__import__.medical_device_category_04,,,,
medical_device_category_04-06,骨科用刮,04-06,__import__.medical_device_category_04,,,,
medical_device_category_04-07,骨科用锥,04-07,__import__.medical_device_category_04,,,,
medical_device_category_04-08,骨科用钻,04-08,__import__.medical_device_category_04,,,,
medical_device_category_04-09,骨科用锯,04-09,__import__.medical_device_category_04,,,,
medical_device_category_04-10,骨科用凿,04-10,__import__.medical_device_category_04,,,,
medical_device_category_04-11,骨科用锉、铲,04-11,__import__.medical_device_category_04,,,,
medical_device_category_04-12,骨科用有源器械,04-12,__import__.medical_device_category_04,,,,
medical_device_category_04-13,外固定及牵引器械,04-13,__import__.medical_device_category_04,,,,
medical_device_category_04-14,基础通用辅助器械,04-14,__import__.medical_device_category_04,,,,
medical_device_category_04-15,创伤外科辅助器械,04-15,__import__.medical_device_category_04,,,,
medical_device_category_04-16,关节外科辅助器械,04-16,__import__.medical_device_category_04,,,,
medical_device_category_04-17,脊柱外科辅助器械,04-17,__import__.medical_device_category_04,,,,
medical_device_category_04-18,骨科其他手术器械,04-18,__import__.medical_device_category_04,,,,
medical_device_category_05-01,放射治疗设备,05-01,__import__.medical_device_category_05,,,,
medical_device_category_05-02,放射治疗模拟及图像引导系统,05-02,__import__.medical_device_category_05,,,,
medical_device_category_05-03,放射治疗准直限束装置,05-03,__import__.medical_device_category_05,,,,
medical_device_category_05-04,放射治疗配套器械,05-04,__import__.medical_device_category_05,,,,
medical_device_category_06-01,诊断X射线机,06-01,__import__.medical_device_category_06,,,,
medical_device_category_06-02,X射线计算机体层摄影设备（CT）,06-02,__import__.medical_device_category_06,,,,
medical_device_category_06-03,X射线发生、限束装置,06-03,__import__.medical_device_category_06,,,,
medical_device_category_06-04,X射线影像接收处理装置,06-04,__import__.medical_device_category_06,,,,
medical_device_category_06-05,X射线附属及辅助设备,06-05,__import__.medical_device_category_06,,,,
medical_device_category_06-06,医用射线防护设备,06-06,__import__.medical_device_category_06,,,,
medical_device_category_06-07,超声影像诊断设备,06-07,__import__.medical_device_category_06,,,,
medical_device_category_06-08,超声影像诊断附属设备,06-08,__import__.medical_device_category_06,,,,
medical_device_category_06-09,磁共振成像设备（MRI）,06-09,__import__.medical_device_category_06,,,,
medical_device_category_06-10,磁共振辅助设备,06-10,__import__.medical_device_category_06,,,,
medical_device_category_06-11,放射性核素成像设备,06-11,__import__.medical_device_category_06,,,,
medical_device_category_06-12,放射性核素成像辅助设备,06-12,__import__.medical_device_category_06,,,,
medical_device_category_06-13,光学成像诊断设备,06-13,__import__.medical_device_category_06,,,,
medical_device_category_06-14,医用内窥镜,06-14,__import__.medical_device_category_06,,,,
medical_device_category_06-15,内窥镜功能供给装置,06-15,__import__.medical_device_category_06,,,,
medical_device_category_06-16,内窥镜辅助用品,06-16,__import__.medical_device_category_06,,,,
medical_device_category_06-17,组合功能融合成像器械,06-17,__import__.medical_device_category_06,,,,
medical_device_category_06-18,图像显示、处理、传输及打印设备,06-18,__import__.medical_device_category_06,,,,
medical_device_category_07-01,诊察辅助器械,07-01,__import__.medical_device_category_07,,,,
medical_device_category_07-02,呼吸功能及气体分析测定装置,07-02,__import__.medical_device_category_07,,,,
medical_device_category_07-03,生理参数分析测量设备,07-03,__import__.medical_device_category_07,,,,
medical_device_category_07-04,监护设备,07-04,__import__.medical_device_category_07,,,,
medical_device_category_07-05,电声学测量、分析设备,07-05,__import__.medical_device_category_07,,,,
medical_device_category_07-06,放射性核素诊断设备,07-06,__import__.medical_device_category_07,,,,
medical_device_category_07-07,超声生理参数测量、分析设备,07-07,__import__.medical_device_category_07,,,,
medical_device_category_07-08,遥测和中央监护设备,07-08,__import__.medical_device_category_07,,,,
medical_device_category_07-09,其他测量、分析设备,07-09,__import__.medical_device_category_07,,,,
